universidad,estado_fuente,url_altillo,url_oficial,pagina_fuente
Instituto Franciscano de Oriente,Tlaxcala,https://www.altillo.com/universidades/mexico/de/tlaxcala/Instituto_Franciscano_de_Oriente.asp,,https://www.altillo.com/universidades/mexico/de/tlaxcala.asp
Instituto Franklin D. Roosvelt,Puebla,https://www.altillo.com/universidades/mexico/de/puebla/Instituto_Franklin_D_Roosvelt.asp,,https://www.altillo.com/universidades/mexico/de/puebla.asp
Instituto Fray Antonio de Lisboa (IFAL),Michoacan,https://www.altillo.com/universidades/mexico/de/michoacan/Instituto_Fray_Antonio_de_Lisboa_IFAL.asp,http://www.ifal.edu.mx,https://www.altillo.com/universidades/mexico/de/michoacan.asp
Instituto Gastronomito Casserole,Durango,https://www.altillo.com/universidades/mexico/de/durango/Instituto_Gastronomico_Casserole.asp,http://www.prodehum.edu.mx,https://www.altillo.com/universidades/mexico/de/durango.asp
Instituto Gastronomito Hidalguense,Hidalgo,https://www.altillo.com/universidades/mexico/de/hidalgo/Instituto_Gastronomico_Hidalguense.asp,,https://www.altillo.com/universidades/mexico/de/hidalgo.asp
Instituto Gastronómico de Estudios Superiores (IGES),Queretaro,https://www.altillo.com/universidades/mexico/de/queretaro/Instituto_Gastronomico_de_Estudios_Superiores_IGES.asp,https://igesuniversidad.com/,https://www.altillo.com/universidades/mexico/de/queretaro.asp
Instituto Gastronómico L'ecole Du Chef,Chihuahua,https://www.altillo.com/universidades/mexico/de/chihuahua/Instituto_Gastronomico_Lecole_Du_Chef.asp,https://sic.cultura.gob.mx/ficha.php?table=universidad&table_id=3267,https://www.altillo.com/universidades/mexico/de/chihuahua.asp
Instituto Gastronómico Letty Gordon,Distritofederal,https://www.altillo.com/universidades/mexico/de/distritofederal/Instituto_Gastronomico_Letty_Gordon.asp,http://www.lettygordon.com,https://www.altillo.com/universidades/mexico/de/distritofederal.asp
Instituto Gastronómico Poblano,Puebla,https://www.altillo.com/universidades/mexico/de/puebla/Instituto_Gastronomico_Poblano.asp,,https://www.altillo.com/universidades/mexico/de/puebla.asp
Instituto Gestalt de Guadalajara,Jalisco,https://www.altillo.com/universidades/mexico/de/jalisco/Instituto_Gestalt_de_Guadalajara.asp,https://www.gestaltguadalajara.com.mx,https://www.altillo.com/universidades/mexico/de/jalisco.asp
Instituto Grecolatino,Coahuila,https://www.altillo.com/universidades/mexico/de/coahuila/Instituto_Grecolatino.asp,https://datamexico.org/es/profile/institution/instituto-grecolatino,https://www.altillo.com/universidades/mexico/de/coahuila.asp
Instituto Guadalupe Victoria,Aguascalientes,https://www.altillo.com/universidades/mexico/de/aguascalientes/Instituto_Guadalupe_Victoria.asp,https://guadalupevictoria.com.mx/v21/,https://www.altillo.com/universidades/mexico/de/aguascalientes.asp
Instituto Guzse Diseñadores,Sanluispotosi,https://www.altillo.com/universidades/mexico/de/sanluispotosi/Instituto_Guzse_Disenadores.asp,,https://www.altillo.com/universidades/mexico/de/sanluispotosi.asp
Instituto Hispano Jaime Sabines,Chiapas,https://www.altillo.com/universidades/mexico/de/chiapas/Instituto_Hispano_Jaime_Sabines_IHJS.asp,http://www.institutohispano.edu.mx,https://www.altillo.com/universidades/mexico/de/chiapas.asp
Instituto Humanista de Estudios Superiores,Campeche,https://www.altillo.com/universidades/mexico/de/campeche/Instituto_Humanista_de_Estudios_Superiores.asp,,https://www.altillo.com/universidades/mexico/de/campeche.asp
Instituto Humanista de Psicoterapia Corporal INTEGRA,Estadodemexico,https://www.altillo.com/universidades/mexico/de/estadodemexico/Instituto_Humanista_de_Psicoterapia_Corporal_INTEGRA.asp,http://www.instituto-integra.com,https://www.altillo.com/universidades/mexico/de/estadodemexico.asp
Instituto Humanista de Psicoterapia Gestalt,Coahuila,https://www.altillo.com/universidades/mexico/de/coahuila/Instituto_Humanista_de_Psicoterapia_Gestalt.asp,http://www.gestalthumanista.com/saltillo,https://www.altillo.com/universidades/mexico/de/coahuila.asp
Instituto Humanista de Psicoterapia Gestalt,Distritofederal,https://www.altillo.com/universidades/mexico/de/distritofederal/Instituto_Humanista_de_Psicoterapia_Gestalt.asp,http://www.gestalthumanista.com,https://www.altillo.com/universidades/mexico/de/distritofederal.asp
Instituto Humanista de Psicoterapia Gestalt,Veracruz,https://www.altillo.com/universidades/mexico/de/veracruz/Instituto_Humanista_de_Psicoterapia_Gestalt_Sede_Veracruz.asp,http://www.gestalthumanista.com/,https://www.altillo.com/universidades/mexico/de/veracruz.asp
Instituto Humanista de Psicoterapia Gestalt de Puebla,Puebla,https://www.altillo.com/universidades/mexico/de/puebla/Instituto_Gestalt_de_Puebla.asp,http://www.gestalthumanista.com/sede-puebla/,https://www.altillo.com/universidades/mexico/de/puebla.asp
Instituto Humanista de Psicoterapia Gestalt de Queretaro S.C.,Queretaro,https://www.altillo.com/universidades/mexico/de/queretaro/Instituto_Humanista_de_Psicoterapia_Gestalt_de_Queretaro_SC.asp,http://www.utopiagestalt.com,https://www.altillo.com/universidades/mexico/de/queretaro.asp
Instituto Humanista de Sinaloa,Nayarit,https://www.altillo.com/universidades/mexico/de/nayarit/Instituto_Humanista_de_Sinaloa_Campus_Nayarit.asp,http://www.ihs.edu.mx,https://www.altillo.com/universidades/mexico/de/nayarit.asp
Instituto Humanista de Sinaloa (IHS),Sinaloa,https://www.altillo.com/universidades/mexico/de/sinaloa/Instituto_Humanista_de_Sinaloa_IHS.asp,http://www.ihs.edu.mx,https://www.altillo.com/universidades/mexico/de/sinaloa.asp
Instituto Humanista de Sinaloa (IHS),Sinaloa,https://www.altillo.com/universidades/mexico/de/sinaloa/Instituto_Humanista_de_Sinaloa_IHS_Los_Mochis.asp,http://www.ihs.edu.mx,https://www.altillo.com/universidades/mexico/de/sinaloa.asp
Instituto Humanístico Integral Sede Gomez Palacio Dgo,Durango,https://www.altillo.com/universidades/mexico/de/durango/Instituto_Humanistico_Integral_Sede_Gomez_Palacio_Dgo.asp,https://es-la.facebook.com/InstitutoHumanisticoIntegral?filter=3,https://www.altillo.com/universidades/mexico/de/durango.asp
Instituto Ingenihum Soft,Yucatan,https://www.altillo.com/universidades/mexico/de/yucatan/Instituto_Ingenihum_Soft.asp,http://www.ingenihum.mx,https://www.altillo.com/universidades/mexico/de/yucatan.asp
Instituto Interamericano de Ciencias de La Salud (INICISA),Queretaro,https://www.altillo.com/universidades/mexico/de/queretaro/Instituto_Interamericano_de_Ciencias_de_La_Salud_INICISA.asp,,https://www.altillo.com/universidades/mexico/de/queretaro.asp
Instituto Intercultural Ñöñho,Queretaro,https://www.altillo.com/universidades/mexico/de/queretaro/Instituto_Intercultural_Nonho.asp,http://www.mariomonroy.wix.com/institutononho,https://www.altillo.com/universidades/mexico/de/queretaro.asp
Instituto Internacional de Administración Estratégica (IIAE),Coahuila,https://www.altillo.com/universidades/mexico/de/coahuila/Instituto_Internacional_de_Administracion_Estrategica.asp,http://www.iiae.com.mx,https://www.altillo.com/universidades/mexico/de/municipio_coahuila_saltillo.asp
Instituto Internacional de Administración Estratégica (IIAE),Coahuila,https://www.altillo.com/universidades/mexico/de/coahuila/Instituto_Internacional_de_Administracion_Estrategica_IIAE.asp,http://www.iiae.edu.mx/,https://www.altillo.com/universidades/mexico/de/coahuila.asp
Instituto Internacional de Estudios Superiores de Reynosa,Tamaulipas,https://www.altillo.com/universidades/mexico/de/tamaulipas/Instituto_Internacional_de_Estudios_Superiores_de_Reynosa.asp,https://iies.edu.mx/web/,https://www.altillo.com/universidades/mexico/de/tamaulipas.asp
Instituto Internacional del derecho y del Estado,Michoacan,https://www.altillo.com/universidades/mexico/de/michoacan/Instituto_Internacional_del_derecho_y_del_estado.asp,,https://www.altillo.com/universidades/mexico/de/michoacan.asp
Instituto Internacional del Derecho y del Estado (IIDE),Bajacaliforniasur,https://www.altillo.com/universidades/mexico/de/bajacaliforniasur/Instituto_Internacional_del_Derecho_y_del_Estado_IIDE.asp,http://www.iide.edu.mx,https://www.altillo.com/universidades/mexico/de/bajacaliforniasur.asp
Instituto Internacional del derecho y del Estado (IIDE),Distritofederal,https://www.altillo.com/universidades/mexico/de/distritofederal/Instituto_Internacional_del_derecho_y_del_Estado_IIDE.asp,https://www.iide.edu.mx/home.php,https://www.altillo.com/universidades/mexico/de/distritofederal.asp
Instituto Internacional del derecho y del Estado (IIDE),Guerrero,https://www.altillo.com/universidades/mexico/de/guerrero/Instituto_Internacional_del_derecho_y_del_Estado_IIDE.asp,http://www.iide.edu.mx,https://www.altillo.com/universidades/mexico/de/guerrero.asp
